CEP inicial,Latitude inicial,Longitude inicial,Dia do voo,Hora inicial,Velocidade,CEP final,Latitude final,Longitude final,Pouso,Hora final
82821020,-25.4233146347775,-49.2160678044742,1,06:00:00,30,81490360,-25.5959260714452,-49.3331487620149,SIM,06:45:00
81490360,-25.5959260714452,-49.3331487620149,1,06:46:00,42,81480160,-25.5588432106598,-49.3151440012031,NÃO,06:52:00
81480160,-25.5588432106598,-49.3151440012031,1,06:53:00,39,81150130,-25.5161805037496,-49.3043711084487,NÃO,07:00:00
81150130,-25.5161805037496,-49.3043711084487,1,07:01:00,44,80215650,-25.4484380190541,-49.2490664368478,NÃO,07:14:00
80215650,-25.4484380190541,-49.2490664368478,1,07:15:00,30,81510390,-25.4685143295265,-49.2421165124832,SIM,07:20:00
81510390,-25.4685143295265,-49.2421165124832,1,07:21:00,42,82860360,-25.3827108510463,-49.1953359321141,NÃO,07:36:00
82860360,-25.3827108510463,-49.1953359321141,1,07:37:00,30,82650060,-25.3808622827653,-49.242762203191,NÃO,07:47:00
82650060,-25.3808622827653,-49.242762203191,1,07:48:00,30,80030430,-25.4146322176159,-49.2550561883948,SIM,07:56:00
80030430,-25.4146322176159,-49.2550561883948,1,07:57:00,30,80730450,-25.4295930000255,-49.2924205417543,NÃO,08:05:00
80730450,-25.4295930000255,-49.2924205417543,1,08:06:00,38,81670110,-25.4977016024349,-49.2505578410785,NÃO,08:19:00
81670110,-25.4977016024349,-49.2505578410785,1,08:20:00,33,81520300,-25.4623570695212,-49.2422078636873,NÃO,08:28:00
81520300,-25.4623570695212,-49.2422078636873,1,08:29:00,30,80045160,-25.4227240373025,-49.257747950136,SIM,08:38:00
80045160,-25.4227240373025,-49.257747950136,1,08:39:00,30,81220170,-25.4569440522711,-49.3221956960987,NÃO,08:54:00
81220170,-25.4569440522711,-49.3221956960987,1,08:55:00,40,80520550,-25.403621771614,-49.2770964271839,NÃO,09:06:00
80520550,-25.403621771614,-49.2770964271839,1,09:07:00,30,81480216,-25.5592031642591,-49.3274865425991,SIM,09:43:00
81480216,-25.5592031642591,-49.3274865425991,1,09:44:00,41,81520290,-25.4627057622716,-49.2410266625473,NÃO,10:05:00
81520290,-25.4627057622716,-49.2410266625473,1,10:06:00,30,80820650,-25.4121630005226,-49.3068074987427,SIM,10:23:00
80820650,-25.4121630005226,-49.3068074987427,1,10:24:00,47,80040150,-25.419191727292,-49.2505313635874,NÃO,10:31:00
80040150,-25.419191727292,-49.2505313635874,1,10:32:00,44,82600640,-25.3981885762214,-49.2162511520761,NÃO,10:38:00
82600640,-25.3981885762214,-49.2162511520761,1,10:39:00,30,82010390,-25.4282395714462,-49.3275682857714,SIM,11:02:00
82010390,-25.4282395714462,-49.3275682857714,1,11:03:00,40,81850680,-25.54320816435,-49.242931161733,NÃO,11:26:00
81850680,-25.54320816435,-49.242931161733,1,11:27:00,30,80510360,-25.4193944591681,-49.2858097118247,SIM,11:56:00
80510360,-25.4193944591681,-49.2858097118247,1,11:57:00,45,82960488,-25.4654066369594,-49.210649939143,NÃO,12:09:00
82960488,-25.4654066369594,-49.210649939143,1,12:10:00,33,82930000,-25.4522168930604,-49.2076848688181,NÃO,12:13:00
82930000,-25.4522168930604,-49.2076848688181,1,12:14:00,30,82200440,-25.393875587652,-49.2639951894228,SIM,12:31:00
82200440,-25.393875587652,-49.2639951894228,1,12:32:00,39,81550430,-25.4903390577391,-49.20628701026,NÃO,12:51:00
81550430,-25.4903390577391,-49.20628701026,1,12:52:00,30,81900670,-25.5457748986399,-49.2827186530876,SIM,13:12:00
81900670,-25.5457748986399,-49.2827186530876,1,13:13:00,45,81910030,-25.5361378385276,-49.2685374132639,NÃO,13:15:00
81910030,-25.5361378385276,-49.2685374132639,1,13:16:00,33,80045340,-25.4273942123959,-49.2452352041218,NÃO,13:39:00
80045340,-25.4273942123959,-49.2452352041218,1,13:40:00,30,80510090,-25.4219078028813,-49.2805581841836,SIM,13:47:00
80510090,-25.4219078028813,-49.2805581841836,1,13:48:00,46,82930370,-25.4627990031427,-49.2053096781914,NÃO,13:59:00
