CEP inicial,Latitude inicial,Longitude inicial,Dia do voo,Hora inicial,Velocidade,CEP final,Latitude final,Longitude final,Pouso,Hora final
82821020,-25.4233146347775,-49.2160678044742,1,06:00:00,30,82315390,-25.4096763580765,-49.3604395248946,NÃO,06:29:00
82315390,-25.4096763580765,-49.3604395248946,1,06:30:00,33.47509505837528,81220100,-25.4557352095908,-49.3256450071633,SIM,06:42:00
81220100,-25.4557352095908,-49.3256450071633,1,06:43:00,30,81470340,-25.5784518706724,-49.3362378687666,NÃO,07:10:00
81470340,-25.5784518706724,-49.3362378687666,1,07:11:00,36.160890296903204,81250720,-25.4815524899573,-49.3385838295334,SIM,07:30:00
81250720,-25.4815524899573,-49.3385838295334,1,07:31:00,46.99990565508391,80330120,-25.4711980670357,-49.3106388116797,NÃO,07:35:00
80330120,-25.4711980670357,-49.3106388116797,1,07:36:00,40.11793808897437,80810020,-25.4179269867733,-49.2959062863188,NÃO,07:45:00
80810020,-25.4179269867733,-49.2959062863188,1,07:46:00,30,81490398,-25.5963908362783,-49.3358913045797,SIM,08:28:00
81490398,-25.5963908362783,-49.3358913045797,1,08:29:00,38.49321733685552,80210200,-25.4425802500035,-49.2447534999719,SIM,09:00:00
80210200,-25.4425802500035,-49.2447534999719,1,09:01:00,30,81670260,-25.5039440665513,-49.2550349720709,NÃO,09:15:00
81670260,-25.5039440665513,-49.2550349720709,1,09:16:00,30,80440020,-25.4428337956861,-49.300747838027,SIM,09:33:00
80440020,-25.4428337956861,-49.300747838027,1,09:34:00,40.71860432369683,82650230,-25.3772499488416,-49.2469517894625,NÃO,09:47:00
82650230,-25.3772499488416,-49.2469517894625,1,09:48:00,30.175919663481572,82650320,-25.3737566254647,-49.2469140011033,NÃO,09:49:00
82650320,-25.3737566254647,-49.2469140011033,1,09:50:00,30.508602305072145,80045340,-25.4273942123959,-49.2452352041218,NÃO,10:02:00
80045340,-25.4273942123959,-49.2452352041218,1,10:03:00,30,81250190,-25.4787356976141,-49.3477187290333,SIM,10:27:00
81250190,-25.4787356976141,-49.3477187290333,1,10:28:00,44.90184168145372,81910230,-25.5278877309024,-49.2672872891657,NÃO,10:42:00
81910230,-25.5278877309024,-49.2672872891657,1,10:43:00,30,82320340,-25.399199941043,-49.3477109219031,SIM,11:16:00
